accuracy,balanced_accuracy,macro_f1,weighted_f1,subset,protocol,method,heldout_group,n_train,n_test
0.9458955223880597,0.9431406354857732,0.9456182626054327,0.9459628942250319,class_material_balanced,board_lobo,v62a_knn,C02,2264,536
0.9411764705882353,0.9440669247120861,0.9405948254215515,0.9414851307630463,class_material_balanced,board_lobo,v62a_knn,C03,2409,391
0.927536231884058,0.9292661292949169,0.9286826420976023,0.9277460808279636,class_material_balanced,board_lobo,v62a_knn,W01,2248,552
0.9565217391304348,0.9523654810360125,0.9551667094605725,0.9563060874870647,class_material_balanced,board_lobo,v62a_knn,W02,2317,483
0.9424657534246575,0.9252829042302727,0.9307556879739977,0.9420832741443391,class_material_balanced,board_lobo,v62a_knn,W03,2435,365
0.9421428571428572,0.9421428571428571,0.9409065297893754,0.9409065297893753,class_material_balanced,material_lomo,frequency_only_lr,carbon,1400,1400
0.945,0.945,0.9439401178531612,0.9439401178531613,class_material_balanced,material_lomo,frequency_only_lr,wood,1400,1400
0.9442857142857143,0.9442857142857143,0.9445256516100878,0.9445256516100877,class_material_balanced,material_lomo,frequency_plus_v62a_lr,carbon,1400,1400
0.9507142857142857,0.9507142857142856,0.9513138503253131,0.951313850325313,class_material_balanced,material_lomo,frequency_plus_v62a_lr,wood,1400,1400
0.8971428571428571,0.8971428571428571,0.8956053220931803,0.8956053220931803,class_material_balanced,material_lomo,v61_knn,carbon,1400,1400
0.87,0.8700000000000001,0.8691675513388339,0.869167551338834,class_material_balanced,material_lomo,v61_knn,wood,1400,1400
0.9385714285714286,0.9385714285714286,0.9389091798338691,0.9389091798338691,class_material_balanced,material_lomo,v62a_knn,carbon,1400,1400
0.935,0.9349999999999999,0.9356698316796994,0.9356698316796993,class_material_balanced,material_lomo,v62a_knn,wood,1400,1400
0.9768270944741533,0.9760067969413765,0.9760287213476941,0.9768251253703761,class_material_balanced,stratified,frequency_only_lr,validation,2239,561
0.9554367201426025,0.9547263097415474,0.9547101346728644,0.9554857659715565,class_material_balanced,stratified,frequency_plus_v62a_lr,validation,2239,561
0.93048128342246,0.929110342116234,0.9291497789698188,0.9303797413480563,class_material_balanced,stratified,v61_knn,validation,2239,561
0.9322638146167558,0.9320151349621077,0.9319377733600824,0.9323550851655173,class_material_balanced,stratified,v62a_knn,validation,2239,561
1.0,1.0,1.0,1.0,class_material_freqmatched,board_lobo,frequency_only_lr,C01,750,170
1.0,1.0,1.0,1.0,class_material_freqmatched,board_lobo,frequency_only_lr,C02,750,170
1.0,1.0,1.0,1.0,class_material_freqmatched,board_lobo,frequency_only_lr,C03,795,125
0.9887005649717514,0.9902439024390244,0.9903488372093022,0.9886907108132965,class_material_freqmatched,board_lobo,frequency_only_lr,W01,743,177
0.9818181818181818,0.9857142857142858,0.9824231010671689,0.9819437310962734,class_material_freqmatched,board_lobo,frequency_only_lr,W02,755,165
0.9734513274336283,0.96,0.9638242894056848,0.9729025176648144,class_material_freqmatched,board_lobo,frequency_only_lr,W03,807,113
0.9764705882352941,0.9681904761904763,0.9620227850176214,0.9770885703679061,class_material_freqmatched,board_lobo,frequency_plus_v62a_lr,C01,750,170
0.9411764705882353,0.9428990364474235,0.9433752689566642,0.9416989395101569,class_material_freqmatched,board_lobo,frequency_plus_v62a_lr,C02,750,170
