protocol,condition,display_name,condition_type,method,n_train,class_id,label_name,support,precision,recall,f1,held_out_group,n_test,stress_test_note
board_grouped,frequency_only,Frequency only,metadata_only,balanced_logistic_regression,10625,2,1_2,141,1.0,0.8652482269503546,0.9277566539923954,C02,2319,none
board_grouped,frequency_only,Frequency only,metadata_only,balanced_logistic_regression,10625,3,2_1,157,0.8920454545454546,1.0,0.942942942942943,C02,2319,none
board_grouped,frequency_only,Frequency only,metadata_only,balanced_logistic_regression,10625,4,higher,1775,1.0,1.0,1.0,C02,2319,none
board_grouped,frequency_only,Frequency only,metadata_only,balanced_logistic_regression,11307,0,1_1H,110,1.0,1.0,1.0,C03,1637,none
board_grouped,frequency_only,Frequency only,metadata_only,balanced_logistic_regression,11307,1,1_1T,74,1.0,1.0,1.0,C03,1637,none
board_grouped,frequency_only,Frequency only,metadata_only,balanced_logistic_regression,11307,2,1_2,98,1.0,0.8877551020408163,0.9405405405405405,C03,1637,none
board_grouped,frequency_only,Frequency only,metadata_only,balanced_logistic_regression,11307,3,2_1,117,0.9140625,1.0,0.9551020408163265,C03,1637,none
board_grouped,frequency_only,Frequency only,metadata_only,balanced_logistic_regression,11307,4,higher,1238,1.0,1.0,1.0,C03,1637,none
board_grouped,frequency_only,Frequency only,metadata_only,balanced_logistic_regression,10525,0,1_1H,116,1.0,1.0,1.0,W01,2419,none
board_grouped,frequency_only,Frequency only,metadata_only,balanced_logistic_regression,10525,1,1_1T,107,1.0,1.0,1.0,W01,2419,none
board_grouped,frequency_only,Frequency only,metadata_only,balanced_logistic_regression,10525,2,1_2,177,0.9030612244897959,1.0,0.9490616621983915,W01,2419,none
board_grouped,frequency_only,Frequency only,metadata_only,balanced_logistic_regression,10525,3,2_1,185,1.0,0.8972972972972973,0.9458689458689459,W01,2419,none
board_grouped,frequency_only,Frequency only,metadata_only,balanced_logistic_regression,10525,4,higher,1834,1.0,1.0,1.0,W01,2419,none
board_grouped,frequency_only,Frequency only,metadata_only,balanced_logistic_regression,10574,0,1_1H,74,1.0,1.0,1.0,W02,2370,none
board_grouped,frequency_only,Frequency only,metadata_only,balanced_logistic_regression,10574,1,1_1T,113,1.0,1.0,1.0,W02,2370,none
board_grouped,frequency_only,Frequency only,metadata_only,balanced_logistic_regression,10574,2,1_2,142,0.8022598870056498,1.0,0.8902821316614421,W02,2370,none
board_grouped,frequency_only,Frequency only,metadata_only,balanced_logistic_regression,10574,3,2_1,169,1.0,0.7928994082840237,0.8844884488448845,W02,2370,none
board_grouped,frequency_only,Frequency only,metadata_only,balanced_logistic_regression,10574,4,higher,1872,1.0,1.0,1.0,W02,2370,none
board_grouped,frequency_only,Frequency only,metadata_only,balanced_logistic_regression,11478,0,1_1H,90,1.0,1.0,1.0,W03,1466,none
board_grouped,frequency_only,Frequency only,metadata_only,balanced_logistic_regression,11478,1,1_1T,93,1.0,1.0,1.0,W03,1466,none
board_grouped,frequency_only,Frequency only,metadata_only,balanced_logistic_regression,11478,2,1_2,123,0.8913043478260869,1.0,0.9425287356321839,W03,1466,none
board_grouped,frequency_only,Frequency only,metadata_only,balanced_logistic_regression,11478,3,2_1,64,1.0,0.765625,0.8672566371681416,W03,1466,none
board_grouped,frequency_only,Frequency only,metadata_only,balanced_logistic_regression,11478,4,higher,1096,1.0,1.0,1.0,W03,1466,none
board_grouped,frequency_only,Frequency only,metadata_only,random_forest,10211,0,1_1H,129,1.0,1.0,1.0,C01,2733,none
board_grouped,frequency_only,Frequency only,metadata_only,random_forest,10211,1,1_1T,170,1.0,1.0,1.0,C01,2733,none
board_grouped,frequency_only,Frequency only,metadata_only,random_forest,10211,2,1_2,57,1.0,0.5964912280701754,0.7472527472527472,C01,2733,none
board_grouped,frequency_only,Frequency only,metadata_only,random_forest,10211,3,2_1,77,0.77,1.0,0.8700564971751412,C01,2733,none
board_grouped,frequency_only,Frequency only,metadata_only,random_forest,10211,4,higher,2300,1.0,1.0,1.0,C01,2733,none
board_grouped,frequency_only,Frequency only,metadata_only,random_forest,10625,0,1_1H,134,1.0,1.0,1.0,C02,2319,none
board_grouped,frequency_only,Frequency only,metadata_only,random_forest,10625,1,1_1T,112,1.0,1.0,1.0,C02,2319,none
board_grouped,frequency_only,Frequency only,metadata_only,random_forest,10625,2,1_2,141,1.0,0.723404255319149,0.8395061728395062,C02,2319,none
board_grouped,frequency_only,Frequency only,metadata_only,random_forest,10625,3,2_1,157,0.8010204081632653,1.0,0.8895184135977336,C02,2319,none
